Corporate body type,Year,Value,Value_obsStatus
Assurance Company,2003-04,933,
Charitable Incorporated Organisation,2003-04,0,
European Economic Interest Grouping (EEIG),2003-04,183,
European Public Limited-Liability Company (SE),2003-04,0,
Further Education and Sixth Form College Corps,2003-04,0,
Investment Company with Variable Capital,2003-04,104,
Investment Company with Variable Capital (Securities),2003-04,11,
Investment Company with Variable Capital (Umbrella),2003-04,90,
Limited Liability Partnership,2003-04,7396,
Limited Partnership,2003-04,11270,
Northern Ireland Company,2003-04,24,
Old Public Company,2003-04,53,
Other Company Type,2003-04,16,
Other Type of Company (in Northern Ireland),2003-04,0,
Overseas Company,2003-04,7746,
*Private Limited,2003-04,1965319,
*Private Limited by Guarantee/No Share Capital,2003-04,45469,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2003-04,22168,
*Private Limited by Shares (Section 30 Exemption),2003-04,21,
*Private Unlimited,2003-04,7278,
*Private Unlimited/No Share Capital,2003-04,117,
*Public Limited Company,2003-04,9273,
Protected Cell Company,2003-04,0,
Registered Society,2003-04,8861,
Royal Charter Company,2003-04,800,
Scottish Charitable Incorporated Organisation,2003-04,0,
Scottish Partnership,2003-04,0,
United Kingdom Economic Interest Grouping,2003-04,,z
United Kingdom Societas,2003-04,,z
Unregistered Company,2003-04,50,
Total,2003-04,2087182,
Assurance Company,2004-05,931,
Charitable Incorporated Organisation,2004-05,0,
European Economic Interest Grouping (EEIG),2004-05,187,
European Public Limited-Liability Company (SE),2004-05,1,
Further Education and Sixth Form College Corps,2004-05,0,
Investment Company with Variable Capital,2004-05,134,
Investment Company with Variable Capital (Securities),2004-05,11,
Investment Company with Variable Capital (Umbrella),2004-05,90,
Limited Liability Partnership,2004-05,11942,
Limited Partnership,2004-05,12390,
Northern Ireland Company,2004-05,14,
Old Public Company,2004-05,33,
Other Company Type,2004-05,15,
Other Type of Company (in Northern Ireland),2004-05,0,
Overseas Company,2004-05,7827,
*Private Limited,2004-05,2105481,
*Private Limited by Guarantee/No Share Capital,2004-05,49701,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2004-05,24506,
*Private Limited by Shares (Section 30 Exemption),2004-05,21,
*Private Unlimited,2004-05,7536,
*Private Unlimited/No Share Capital,2004-05,118,
*Public Limited Company,2004-05,9441,
Protected Cell Company,2004-05,0,
Registered Society,2004-05,8801,
Royal Charter Company,2004-05,800,
Scottish Charitable Incorporated Organisation,2004-05,0,
Scottish Partnership,2004-05,0,
United Kingdom Economic Interest Grouping,2004-05,,z
United Kingdom Societas,2004-05,,z
Unregistered Company,2004-05,50,
Total,2004-05,2240030,
Assurance Company,2005-06,931,
Charitable Incorporated Organisation,2005-06,0,
European Economic Interest Grouping (EEIG),2005-06,187,
European Public Limited-Liability Company (SE),2005-06,1,
Further Education and Sixth Form College Corps,2005-06,0,
Investment Company with Variable Capital,2005-06,166,
Investment Company with Variable Capital (Securities),2005-06,11,
