Corporate body type,Year,Value,Value_obsStatus
assurance-company,2003-04,933,
charitable-incorporated-organisation,2003-04,0,
european-economic-interest-grouping-eeig,2003-04,183,
european-public-limited-liability-company-se,2003-04,0,
further-education-and-sixth-form-college-corps,2003-04,0,
investment-company-with-variable-capital,2003-04,104,
investment-company-with-variable-capital-securities,2003-04,11,
investment-company-with-variable-capital-umbrella,2003-04,90,
limited-liability-partnership,2003-04,7396,
limited-partnership,2003-04,11270,
northern-ireland-company,2003-04,24,
old-public-company,2003-04,53,
other-company-type,2003-04,16,
other-type-of-company-in-northern-ireland,2003-04,0,
overseas-company,2003-04,7746,
-private-limited,2003-04,1965319,
-private-limited-by-guarantee/no-share-capital,2003-04,45469,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2003-04,22168,
-private-limited-by-shares-section-30-exemption,2003-04,21,
-private-unlimited,2003-04,7278,
-private-unlimited/no-share-capital,2003-04,117,
-public-limited-company,2003-04,9273,
protected-cell-company,2003-04,0,
registered-society,2003-04,8861,
royal-charter-company,2003-04,800,
scottish-charitable-incorporated-organisation,2003-04,0,
scottish-partnership,2003-04,0,
united-kingdom-economic-interest-grouping,2003-04,,z
united-kingdom-societas,2003-04,,z
unregistered-company,2003-04,50,
total,2003-04,2087182,
assurance-company,2004-05,931,
charitable-incorporated-organisation,2004-05,0,
european-economic-interest-grouping-eeig,2004-05,187,
european-public-limited-liability-company-se,2004-05,1,
further-education-and-sixth-form-college-corps,2004-05,0,
investment-company-with-variable-capital,2004-05,134,
investment-company-with-variable-capital-securities,2004-05,11,
investment-company-with-variable-capital-umbrella,2004-05,90,
limited-liability-partnership,2004-05,11942,
limited-partnership,2004-05,12390,
northern-ireland-company,2004-05,14,
old-public-company,2004-05,33,
other-company-type,2004-05,15,
other-type-of-company-in-northern-ireland,2004-05,0,
overseas-company,2004-05,7827,
-private-limited,2004-05,2105481,
-private-limited-by-guarantee/no-share-capital,2004-05,49701,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2004-05,24506,
-private-limited-by-shares-section-30-exemption,2004-05,21,
-private-unlimited,2004-05,7536,
-private-unlimited/no-share-capital,2004-05,118,
-public-limited-company,2004-05,9441,
protected-cell-company,2004-05,0,
registered-society,2004-05,8801,
royal-charter-company,2004-05,800,
scottish-charitable-incorporated-organisation,2004-05,0,
scottish-partnership,2004-05,0,
united-kingdom-economic-interest-grouping,2004-05,,z
united-kingdom-societas,2004-05,,z
unregistered-company,2004-05,50,
total,2004-05,2240030,
assurance-company,2005-06,931,
charitable-incorporated-organisation,2005-06,0,
european-economic-interest-grouping-eeig,2005-06,187,
european-public-limited-liability-company-se,2005-06,1,
further-education-and-sixth-form-college-corps,2005-06,0,
investment-company-with-variable-capital,2005-06,166,
investment-company-with-variable-capital-securities,2005-06,11,
investment-company-with-variable-capital-umbrella,2005-06,90,
limited-liability-partnership,2005-06,17620,
